,,Novedades - Informe,,
,,,Datos de novedades para el ejercicio 2021,
Novedad 1,__________________________________________________________________,,,
Novedad 2,__________________________________________________________________,,,
Novedad 3,__________________________________________________________________,,,
Novedad 4,__________________________________________________________________,,,
Novedad 5,__________________________________________________________________,,,
Novedad 6,__________________________________________________________________,,,
Novedad 7,__________________________________________________________________,,,
Novedad 8,__________________________________________________________________,,,
Novedad 9,__________________________________________________________________,,,
Novedad 10,__________________________________________________________________,,,
Novedad 11,__________________________________________________________________,,,
Novedad 12,__________________________________________________________________,,,
,,,,1
